GRADE,VD/NVD,tap_wt_from_EAF,al ingot_kg__during_EAF_tapping,TEMP OPENING_LRF,LIFTING TEMP_LRF,LIME_LRF,SPAR,Mean_Oxygen,LRF_Initial_Chemistry_C,LRF_Initial_Chemistry_MN,LRF_Initial_Chemistry_S,LRF_Initial_Chemistry_SI,LRF_Initial_Chemistry_AL,LRF_Initial_Chemistry_N2,C_Target,Mn_Target,Si_Target,Al_Target,Carbon_Gap,Mn_Gap,Si_Gap,Al_Gap,Total_Al_LRF_kg
JSPHTHS(V),NVD,100.0,110.0,1505.0,1617.0,1500.0,25.0,445.4,0.097,0.72,0.0609,0.1419,0.048,54.0,0.19,1.325,0.2,0.03,0.093,0.605,0.0581,-0.022,285.0
JSPHTHS(V),NVD,100.0,110.0,1505.0,1570.0,1250.0,25.0,445.4,0.097,0.72,0.0609,0.1419,0.048,54.0,0.19,1.325,0.2,0.03,0.093,0.605,0.0581,-0.022,275.1
JSPHTHS(V),NVD,99.0,132.0,1505.0,1565.0,1400.0,25.0,445.4,0.111,0.95,0.063,0.139,0.017,51.0,0.19,1.325,0.2,0.03,0.079,0.375,0.061,-0.022,307.0
JSPHTHS(V),NVD,101.0,156.0,1505.0,1566.0,1300.0,25.0,445.4,0.126,0.95,0.0539,0.1739,0.116,61.0,0.19,1.325,0.2,0.03,0.064,0.375,0.0261,-0.022,222.1
JSPHTHS(V),NVD,101.0,110.0,1505.0,1565.0,1070.0,25.0,445.4,0.107,1.03,0.048,0.129,0.051,47.0,0.19,1.325,0.2,0.03,0.083,0.2949999999999999,0.071,-0.022,219.0
FE550DLMH,NVD,100.0,110.0,1505.0,1620.0,1250.0,25.0,436.781728873635,0.088,0.62,0.058,0.1409,0.107,60.0,0.19,1.05,0.2,0.03,0.093,0.2549999999999999,0.0499999999999999,-0.022,120.0
JSPHTHS(V),NVD,101.0,178.0,1505.0,1565.0,1800.0,25.0,445.4,0.122,0.99,0.0759,0.161,0.111,37.0,0.19,1.325,0.2,0.03,0.068,0.3349999999999999,0.039,-0.022,254.0
FE550DLMH,NVD,98.0,178.0,1505.0,1582.0,1000.0,25.0,436.781728873635,0.069,0.64,0.0609,0.1439,0.094,33.0,0.19,1.05,0.2,0.03,0.093,0.2549999999999999,0.0499999999999999,-0.022,188.0
JSPHTHS(V),NVD,100.0,110.0,1505.0,1565.0,1300.0,25.0,445.4,0.1,0.97,0.0709,0.14,0.033,41.0,0.19,1.325,0.2,0.03,0.09,0.355,0.06,-0.022,242.1
JSPHTHS(V),NVD,101.0,110.0,1505.0,1565.0,1250.0,25.0,445.4,0.103,1.03,0.0759,0.163,0.065,40.0,0.19,1.325,0.2,0.03,0.087,0.2949999999999999,0.037,-0.022,228.9
JSPHTHS(V),NVD,102.0,110.0,1505.0,1565.0,1500.0,25.0,445.4,0.099,0.98,0.07,0.151,0.031,43.0,0.19,1.325,0.2,0.03,0.091,0.345,0.049,-0.022,304.8
JSPHTHS(V),NVD,103.0,110.0,1505.0,1565.0,1400.0,25.0,445.4,0.119,1.0,0.0759,0.162,0.095,32.0,0.19,1.325,0.2,0.03,0.071,0.3249999999999999,0.038,-0.022,145.41
JSPHTHS(V),NVD,98.0,110.0,1505.0,1565.0,1100.0,25.0,445.4,0.138,1.03,0.0609,0.162,0.047,54.0,0.19,1.325,0.2,0.03,0.0519999999999999,0.2949999999999999,0.038,-0.022,268.5
JSPHTHS(V),NVD,103.0,132.0,1505.0,1565.0,1150.0,25.0,445.4,0.079,0.86,0.055,0.115,0.011,61.0,0.19,1.325,0.2,0.03,0.111,0.4649999999999999,0.085,-0.022,356.5
JSPHTHS(V),NVD,98.0,132.0,1505.0,1560.0,1305.0,25.0,445.4,0.13,1.04,0.064,0.1739,0.053,57.0,0.19,1.325,0.2,0.03,0.06,0.2849999999999999,0.0261,-0.022,284.89
JSPHTHS(V),NVD,102.0,132.0,1505.0,1564.0,1450.0,25.0,445.4,0.094,1.01,0.0589,0.163,0.022,67.0,0.19,1.325,0.2,0.03,0.096,0.3149999999999999,0.037,-0.022,299.41
JSPHTHS(V),NVD,95.0,132.0,1505.0,1567.0,1250.0,25.0,445.4,0.119,1.02,0.055,0.1719,0.073,61.0,0.19,1.325,0.2,0.03,0.071,0.3049999999999999,0.0281,-0.022,218.56
FE550DLMH,NVD,100.0,132.0,1505.0,1610.0,850.0,25.0,436.781728873635,0.079,0.66,0.057,0.1409,0.061,54.0,0.19,1.05,0.2,0.03,0.093,0.2549999999999999,0.0499999999999999,-0.022,142.0
