GRADE,VD/NVD,tap_wt_from_EAF,LIFTING TEMP_LRF,TEMP OPENING_LRF,al ingot_kg__during_EAF_tapping,LIME_LRF,SPAR,OXY_EAF,LRF_Initial_Chemistry_C,LRF_Initial_Chemistry_MN,LRF_Initial_Chemistry_S,LRF_Initial_Chemistry_SI,LRF_Initial_Chemistry_AL,LRF_Initial_Chemistry_N2,Total_Al_LRF_kg,LRF_Final_Chemistry_AL,LRF_Final_Chemistry_C,LRF_Final_Chemistry_MN,Final_S,Final_SI,LRF_Final_Chemistry_N2
JSPHTHS(V),NVD,100.0,1617.0,1505.0,110.0,1500.0,25.0,3154.0,0.097,0.72,0.0609,0.1419,0.048,54.0,285.0,0.035,0.186,1.34,0.0089,0.182,67.0
JSPHTHS(V),NVD,100.0,1570.0,1505.0,110.0,1250.0,25.0,3191.0,0.097,0.72,0.0609,0.1419,0.048,54.0,275.1,0.03,0.182,1.31,0.012,0.184,64.0
JSPHTHS(V),NVD,99.0,1565.0,1505.0,132.0,1400.0,25.0,3799.0,0.111,0.95,0.063,0.139,0.017,51.0,307.0,0.032,0.183,1.31,0.0064,0.219,64.0
JSPHTHS(V),NVD,101.0,1566.0,1505.0,156.0,1300.0,25.0,3709.0,0.126,0.95,0.0539,0.1739,0.116,61.0,222.1,0.036,0.179,1.29,0.004,0.215,63.0
JSPHTHS(V),NVD,101.0,1565.0,1505.0,110.0,1070.0,25.0,3385.0,0.107,1.03,0.048,0.129,0.051,47.0,219.0,0.029,0.18,1.31,0.006,0.216,64.0
FE550DLMH,NVD,100.0,1620.0,1505.0,110.0,1250.0,25.0,3375.0,0.088,0.62,0.058,0.1409,0.107,60.0,120.0,0.009,0.195,0.84,0.0089,0.185,66.0
JSPHTHS(V),NVD,101.0,1565.0,1505.0,178.0,1800.0,25.0,3175.0,0.122,0.99,0.0759,0.161,0.111,37.0,254.0,0.033,0.175,1.34,0.006,0.202,63.0
FE550DLMH,NVD,98.0,1582.0,1505.0,178.0,1000.0,25.0,3447.0,0.069,0.64,0.0609,0.1439,0.094,33.0,188.0,0.018,0.193,0.83,0.0149,0.189,54.0
JSPHTHS(V),NVD,100.0,1565.0,1505.0,110.0,1300.0,25.0,3464.0,0.1,0.97,0.0709,0.14,0.033,41.0,242.1,0.03,0.172,1.32,0.006,0.2109,64.0
JSPHTHS(V),NVD,101.0,1565.0,1505.0,110.0,1250.0,25.0,3166.0,0.103,1.03,0.0759,0.163,0.065,40.0,228.9,0.027,0.175,1.32,0.007,0.195,64.0
JSPHTHS(V),NVD,102.0,1565.0,1505.0,110.0,1500.0,25.0,3499.0,0.099,0.98,0.07,0.151,0.031,43.0,304.8,0.038,0.19,1.34,0.012,0.165,64.0
JSPHTHS(V),NVD,103.0,1565.0,1505.0,110.0,1400.0,25.0,3238.0,0.119,1.0,0.0759,0.162,0.095,32.0,145.41,0.033,0.193,1.34,0.0089,0.198,68.0
JSPHTHS(V),NVD,98.0,1565.0,1505.0,110.0,1100.0,25.0,3812.0,0.138,1.03,0.0609,0.162,0.047,54.0,268.5,0.037,0.177,1.31,0.008,0.201,67.0
JSPHTHS(V),NVD,103.0,1565.0,1505.0,132.0,1150.0,25.0,3656.0,0.079,0.86,0.055,0.115,0.011,61.0,356.5,0.03,0.175,1.34,0.012,0.227,66.0
JSPHTHS(V),NVD,98.0,1560.0,1505.0,132.0,1305.0,25.0,3462.0,0.13,1.04,0.064,0.1739,0.053,57.0,284.89,0.037,0.188,1.32,0.0129,0.1809,66.0
JSPHTHS(V),NVD,102.0,1564.0,1505.0,132.0,1450.0,25.0,3657.0,0.094,1.01,0.0589,0.163,0.022,67.0,299.41,0.036,0.18,1.35,0.014,0.2079,64.0
JSPHTHS(V),NVD,95.0,1567.0,1505.0,132.0,1250.0,25.0,3422.0,0.119,1.02,0.055,0.1719,0.073,61.0,218.56,0.036,0.177,1.31,0.01,0.2109,67.0
FE550DLMH,NVD,100.0,1610.0,1505.0,132.0,850.0,25.0,3725.0,0.079,0.66,0.057,0.1409,0.061,54.0,142.0,0.004,0.19,0.86,0.0089,0.164,67.0
JSPHTHS(V),NVD,104.0,1560.0,1505.0,132.0,1200.0,25.0,3819.0,0.105,1.0,0.0599,0.1719,0.09,60.0,168.4,0.019,0.178,1.3,0.0129,0.171,67.0
JSPHTHSV,NVD,99.0,1615.0,1505.0,132.0,1400.0,25.0,3005.0,0.192,1.01,0.067,0.192,0.086,51.0,193.15,0.027,0.188,1.33,0.014,0.217,66.0
FE550DLMH,NVD,99.0,1585.0,1522.0,132.0,1300.0,25.0,3432.0,0.109,0.67,0.0599,0.153,0.085,60.0,142.0,0.008,0.189,0.8,0.0089,0.166,67.0
JSPHTHSV,NVD,98.0,1568.0,1505.0,132.0,1400.0,25.0,3742.0,0.101,0.68,0.0539,0.1499,0.055,48.0,211.3,0.039,0.187,1.33,0.007,0.203,67.0
JSPHTHSV,NVD,100.0,1575.0,1505.0,132.0,1400.0,25.0,3445.0,0.078,0.71,0.055,0.1449,0.038,57.0,275.65,0.029,0.193,1.34,0.006,0.222,66.0
JSPHTHSV,NVD,96.0,1570.0,1505.0,132.0,1500.0,25.0,3156.0,0.091,0.93,0.0589,0.158,0.063,51.0,280.6,0.036,0.193,1.36,0.007,0.2,66.0
JSPHTHSV,NVD,96.0,1570.0,1505.0,132.0,1200.0,25.0,3816.0,0.116,1.09,0.063,0.1698,0.032,50.0,280.6,0.038,0.19,1.31,0.0089,0.2129,67.0
JSPHTHSV,NVD,96.0,1570.0,1505.0,132.0,1400.0,25.0,3805.0,0.116,1.09,0.063,0.17,0.032,51.0,316.9,0.036,0.179,1.31,0.006,0.228,67.0
JSPHTHSV,NVD,100.0,1565.0,1505.0,132.0,1400.0,25.0,3432.0,0.095,0.96,0.0589,0.1449,0.032,51.0,257.5,0.026,0.191,1.35,0.008,0.192,67.0
JSPHTHSV,NVD,100.0,1570.0,1505.0,132.0,1300.0,25.0,3897.0,0.091,0.91,0.058,0.1189,0.034,54.0,208.0,0.027,0.186,1.34,0.01,0.222,67.0
JSPHTHSV,NVD,100.0,1565.0,1505.0,110.0,1200.0,25.0,3506.0,0.104,0.95,0.0599,0.14,0.007,51.0,255.3,0.029,0.195,1.33,0.0109,0.218,64.0
JSPHTHSV,NVD,100.0,1566.0,1505.0,132.0,1400.0,25.0,3616.0,0.103,1.0,0.0519,0.14,0.015,55.0,295.78,0.029,0.179,1.31,0.008,0.224,64.0
JSPHTHSV,NVD,100.0,1567.0,1505.0,132.0,1300.0,25.0,3647.0,0.116,0.99,0.0429,0.151,0.023,51.0,257.5,0.033,0.178,1.3,0.007,0.215,66.0
JSPHTHSV,NVD,100.0,1570.0,1505.0,132.0,1100.0,25.0,3645.0,0.099,0.82,0.0449,0.12,0.022,50.0,302.05,0.032,0.186,1.33,0.008,0.216,66.0
